brsp,gtto,lasp,sags,sath,vesp,x,y
0,0,0,6,42,1,-103.9865945,46.7309876
0,427,48,12,3,0,-98.6006019,35.8994217
1,1,5,18,0,0,-120.7024989,45.4462537
0,63,41,43,0,1,-119.4143299,45.7988157
0,16,29,11,42,604,-117.2752449,45.6547347
0,0,1,0,36,4,-116.7795945,45.72192
1,6,0,6,48,1,-122.2280527,44.4740348
8,3,0,4,31,0,-121.2737049,44.1598087
14,265,29,435,2,273,-119.2408498,44.2168556
397,60,12,49,0,501,-118.5877689,44.1328667
120,13,5,1,15,143,-117.9704899,44.5020757
0,0,4,11,2,7,-121.6686709,43.5640747
623,45,29,0,55,0,-120.6637819,43.1649665
707,0,3,6,101,5,-119.696796,43.3390029
558,29,51,79,19,336,-118.5355243,43.6934896
458,0,3,43,167,17,-117.8137424,43.2877676
0,1,0,33,68,157,-121.8048799,42.373981
26,16,0,54,251,661,-120.793358,42.6688651
783,2,1,25,197,8,-119.0157629,42.9546357
51,2,0,17,6,1,-118.6488892,42.34767
2,0,0,0,14,6,-117.6769719,42.4372177
32,2,1,0,198,14,-117.2062679,45.2809207
28,164,0,0,242,28,-120.6251759,44.1791537
8,5,6,0,107,0,-117.5242079,44.8296527
0,0,2,0,0,18,-120.9364169,42.1561397
0,243,4,0,24,93,-120.0826419,45.6457597
4,0,0,0,1,3,-119.8749011,45.0713783
2,72,6,0,2,711,-119.1134189,44.4171957
0,0,20,0,1,1,-118.4006221,44.9134489
135,14,0,0,1,0,-120.1979127,43.8392471
137,21,6,0,26,85,-119.6283029,43.7011047
231,0,28,0,47,262,-118.5823739,43.2474327
32,1186,0,0,1,2,-117.0835649,43.6715697
214,10,0,0,37,241,-121.0171359,42.4414407
296,25,9,0,8,41,-119.4780049,42.0147517
0,5,13,0,0,184,-118.8677979,42.9576667
200,1,2,0,1,128,-117.7711409,42.2115047
248,0,1,0,11,35,-117.0811619,42.3630417
0,1,0,0,0,203,-119.5588989,45.9162387
2,20,15,0,8,0,-121.8331858,43.5937764
324,6,3,0,53,13,-119.01495,42.954209
2,0,7,0,30,35,-120.5617158,44.3417036
0,2,0,0,28,317,-120.9225538,42.1429531
247,3,59,0,0,0,-118.5824279,43.2474197
36,7,0,0,15,16,-121.01745,42.38999
0,1,64,0,108,44,-116.9510621,44.9103489
41,0,9,0,128,407,-121.0586193,44.6282948
68,7,13,0,1,10,-119.9279329,44.5221367
125,12,37,0,9,4,-118.2260359,44.4808587
4,1,0,0,19,96,-121.2664489,43.1653387
53,0,24,0,4,135,-120.6402588,43.3071526
70,12,53,0,3,114,-119.0159679,43.2106357
85,5,5,0,0,43,-118.5897464,43.5866262
0,6,9,0,16,0,-123.0636979,42.2219917
0,31,7,0,0,107,-121.4868428,42.2676287
3,12,0,0,1,67,-120.7495196,42.3450345
9,80,11,0,8,43,-119.6736929,42.6188696
40,12,6,0,48,53,-118.9886249,42.6557897
11,0,19,0,96,125,-117.6768949,42.4371897
0,0,6,0,175,97,-120.2151395,44.5976467
16,0,15,0,42,58,-119.4272309,44.8230607
2,0,0,0,52,14,-121.7738733,43.2756335
101,13,5,0,377,152,-120.1643219,43.9679287
0,5,0,0,15,55,-119.5307076,43.8507711
1,7,4,0,266,202,-118.8492195,44.0017724
9,257,7,0,468,130,-117.08403,43.3301972
1,0,0,0,217,0,-120.1599889,42.0624827
464,4,0,0,63,4,-119.5878481,42.5779778
12,6,2,0,166,2,-118.6336519,42.0023607
8,0,0,0,0,4,-117.1751241,42.5261832
5,18,6,0,130,33,-120.12219,44.669185
26,1,2,0,145,4,-117.1153789,45.4307257
0,0,0,0,103,0,-107.43122,53.4825
0,27,0,0,199,25,-107.15311,49.16728
0,7,4,0,262,53,-108.30864,49.55277
8,6,1,0,20,4,-109.74971,49.66796
0,73,0,0,168,80,-109.95185,50.80496
0,6,1,0,276,206,-106.17492,53.58357
5,0,1,0,138,77,-104.71634,49.63106
0,1,0,0,29,68,-109.5316,49.96046
1,1,1,0,8,77,-109.53173,49.96045
5,0,30,0,5,207,-107.48622,49.45006
3,0,1,0,0,10,-107.79203,49.30987
0,3,0,0,0,0,-109.77067,49.59567
0,0,0,0,3,0,-109.12272,49.10171
2,0,0,0,129,0,-108.70866,50.38406
12,3,1,0,75,2,-103.7823662,45.2341239
0,0,0,0,0,0,-102.5581808,45.1458023
0,0,0,0,0,289,-103.0327882,45.545678
3,11,2,0,233,7,-103.9228739,43.3619587
0,0,0,0,5,14,-103.6686132,43.0213802
1,0,3,0,44,28,-102.9569019,33.3441307
24,0,34,0,40,15,-113.1087879,41.4379387
24,0,0,0,0,0,-112.4954989,41.2587657
2,0,1,0,0,1,-111.8036659,41.6272677
3,0,0,0,26,1,-114.0286489,40.4591417
118,0,2,0,19,0,-112.6528009,40.7463847
50,0,0,0,30,0,-111.2812269,40.0466577
238,0,0,0,0,4,-110.3986589,40.4806637
33,0,3,0,0,18,-109.4702139,40.7234797
15,0,1,0,0,0,-113.5196779,39.1269117
2,0,0,0,0,1,-112.2278059,39.3549717
43,0,1,0,0,108,-111.9543769,39.9004437
177,0,0,0,0,87,-110.5606389,39.5972957
7,0,2,0,0,9,-109.6520609,39.9739037
0,0,0,0,0,73,-113.4325409,38.4788417
277,0,0,0,0,3,-112.6462479,38.2041397
8,0,1,0,0,5,-111.3539579,38.4740357
1,0,0,0,0,5,-110.7118149,38.3728587
12,0,3,0,0,4,-109.3333333,38.5833333
17,0,1,0,0,24,-113.4586179,37.7942977
0,0,0,0,0,13,-112.7998329,37.4140427
3,0,0,0,0,7,-111.1870049,37.9276397
1,0,0,0,0,3,-110.3674399,37.8867207
4,0,0,0,0,0,-109.1727749,37.2108797
78,0,1,0,0,0,-113.6309279,41.9667767
138,0,0,0,0,20,-113.8906629,41.7045727
35,0,0,0,0,26,-111.2646329,39.5919247
162,0,1,0,0,3,-112.2057119,41.8929957
45,0,2,0,0,7,-111.5635369,41.5760447
211,0,0,0,0,66,-113.9835809,40.0358487
49,0,0,0,0,0,-112.0953299,40.0721647
131,0,0,0,0,8,-111.2188649,40.2788117
16,0,0,0,0,101,-110.8317029,40.8753817
13,0,0,0,0,12,-109.3309479,40.3698817
5,0,0,0,0,0,-113.4837109,39.6107407
8,0,0,0,0,1,-112.5768129,39.3743227
3,0,0,0,0,5,-110.6649019,39.0822697
34,0,0,0,0,63,-109.1712729,40.0155117
8,0,0,0,0,0,-113.6930469,38.8114907
148,0,3,0,0,0,-112.0016859,38.4908847
0,0,1,0,0,0,-111.1290969,38.2836597
10,0,3,0,0,2,-110.2806089,38.4728807
40,0,0,0,0,0,-113.6579899,37.8962567
